time,w_g
0,3.20224356041013e-06
0.0125,8.30829034385332e-06
0.025,1.38597625399463e-05
0.0375,1.95393708563171e-05
0.05,2.21202600726623e-05
0.0625,2.24959355057488e-05
0.075,2.23810351181846e-05
0.0875,2.215691633215e-05
0.1,2.24069884680961e-05
0.1125,2.3220295415329e-05
0.125,2.44404446774181e-05
0.1375,2.57602772933228e-05
0.15,2.68857173793101e-05
0.1625,2.76816320549447e-05
0.175,2.80119724032548e-05
0.1875,2.80159506578368e-05
0.2,2.75103545331593e-05
0.2125,2.85074591925203e-05
0.225,3.55462673942333e-05
0.2375,4.47358903814626e-05
0.25,5.18509254129486e-05
0.2625,5.28056890544408e-05
0.275,4.28761629077748e-05
0.2875,2.68611663629715e-05
0.3,1.07836350914924e-05
0.3125,-1.76813892367374e-06
0.325,-9.32745975964407e-06
0.3375,-1.22476847895086e-05
0.35,-1.19629932914903e-05
0.3625,-9.77547181685044e-06
0.375,-6.89081762932207e-06
0.3875,-4.03366842112718e-06
0.4,-1.53593929406515e-06
0.4125,5.36682557356153e-07
0.425,2.25706250353528e-06
0.4375,3.58934800076435e-06
0.45,4.4817454446071e-06
0.4625,4.82967803804663e-06
0.475,4.59455063966525e-06
0.4875,3.83526359337177e-06
0.5,2.7283592699777e-06
0.5125,1.48229938411604e-06
0.525,2.36422528969967e-07
0.5375,-9.53853701734506e-07
0.55,-2.09422801870072e-06
0.5625,-3.21543830204523e-06
0.575,-4.33868605752587e-06
0.5875,-5.47016215401504e-06
0.6,-6.5827693817321e-06
0.6125,-7.6261933059673e-06
0.625,-8.57396943024903e-06
0.6375,-9.38288192959158e-06
0.65,-1.00274330375611e-05
0.6625,-1.04904951643033e-05
0.675,-1.07633722797237e-05
0.6875,-1.0841775733667e-05
0.7,-1.07235769689831e-05
0.7125,-1.04099498152633e-05
0.725,-9.90769651783712e-06
0.7375,-9.23110535573455e-06
0.75,-8.40145796950059e-06
0.7625,-7.44528969866692e-06
0.775,-6.38963093980461e-06
0.7875,-5.2610946303429e-06
0.8,-4.08149747093296e-06
0.8125,-2.8757425239376e-06
0.825,-1.66040634373865e-06
0.8375,-4.47750582465159e-07
0.85,7.31056130750124e-07
0.8625,1.86058550150986e-06
0.875,2.91975111156376e-06
0.8875,3.88922701112934e-06
0.9,4.7494975343839e-06
0.9125,5.48283569732371e-06
0.925,6.07329648211204e-06
0.9375,6.50484881551338e-06
0.95,6.76520151951401e-06
0.9625,6.84318451561153e-06
0.975,6.73034621310306e-06
0.9875,6.42050374520725e-06
1,5.90902690718821e-06
1.0125,5.19458546288326e-06
1.025,4.27852434677133e-06
1.0375,3.1641606497774e-06
1.05,1.85720543383558e-06
1.0625,3.65905774296217e-07
1.075,-1.30047456697117e-06
1.0875,-3.12986842755648e-06
1.1,-5.10914138704027e-06
1.1125,-7.23162439725739e-06
1.125,-9.45343588125808e-06
1.1375,-1.17778525616012e-05
1.15,-1.4182499927866e-05
1.1625,-1.66426779356109e-05
1.175,-1.91365895520596e-05
1.1875,-2.16404017701459e-05
1.2,-2.4130064826631e-05
1.2125,-2.65808339328284e-05
1.225,-2.89681937372493e-05
1.2375,-3.12674500343827e-05
1.25,-3.3454611440734e-05
1.2625,-3.55062159021859e-05
1.275,-3.73998887910362e-05
1.2875,-3.91147309564113e-05
1.3,-4.06309159560008e-05
1.3125,-4.19305521808209e-05
1.325,-4.29977653076385e-05
1.3375,-4.38183098951496e-05
1.35,-4.43807370912011e-05
1.3625,-4.46756842304946e-05
1.375,-4.46968465152414e-05
1.3875,-4.44405044127706e-05
1.4,-4.39060646647178e-05
1.4125,-4.30962674895464e-05
1.425,-4.20161538809989e-05
1.4375,-4.06742780012931e-05
1.45,-3.90815300036107e-05
1.4625,-3.72518410408156e-05
1.475,-3.52024933381919e-05
1.4875,-3.29528548548522e-05
1.5,-3.05243203713696e-05
1.5125,-2.79408641741424e-05
1.525,-2.5228438752059e-05
1.5375,-2.24147443910015e-05
1.55,-1.95280929995956e-05
1.5625,-1.6598278546566e-05
1.575,-1.36555985676383e-05
1.5875,-1.07301385850449e-05
1.6,-7.85223060669954e-06
1.6125,-5.05155964468877e-06
1.625,-2.35675071614615e-06
1.6375,2.04018994923038e-07
1.65,2.60619957052002e-06
1.6625,4.82321662323508e-06
1.675,6.84875217803697e-06
