time,w_g
0,3.0357707067552e-06
0.0125,6.64837366295439e-06
0.025,1.03127306346205e-05
0.0375,1.40989900008812e-05
0.05,1.5323891717505e-05
0.0625,1.58950969313015e-05
0.075,1.66922221982965e-05
0.0875,1.75134930593862e-05
0.1,1.86580951760871e-05
0.1125,2.00220724706726e-05
0.125,2.14552097587287e-05
0.1375,2.27723823989787e-05
0.15,2.38379861206024e-05
0.1625,2.46414465108631e-05
0.175,2.50863400410848e-05
0.1875,2.534652212081e-05
0.2,2.51375236104791e-05
0.2125,2.65727036200967e-05
0.225,3.2745513945145e-05
0.2375,3.88351060230326e-05
0.25,4.27641760927276e-05
0.2625,4.19373649384814e-05
0.275,3.36455106545104e-05
0.2875,2.32978188348505e-05
0.3,1.4100315799886e-05
0.3125,7.18502716097426e-06
0.325,2.71584669612275e-06
0.3375,2.15986815643292e-07
0.35,-1.08803654254559e-06
0.3625,-1.6753329814761e-06
0.375,-1.91465085646128e-06
0.3875,-1.96342849277105e-06
0.4,-1.83733053130734e-06
0.4125,-1.53309260780995e-06
0.425,-1.05339435880931e-06
0.4375,-4.83320399415975e-07
0.45,8.47478272235397e-08
0.4625,5.32095813006221e-07
0.475,7.74405901990965e-07
0.4875,8.50298130717854e-07
0.5,8.38655718123325e-07
0.5125,8.29749239509953e-07
0.525,8.5624133402874e-07
0.5375,9.12140080577003e-07
0.55,9.64649111257049e-07
0.5625,9.75557752474869e-07
0.575,9.13604298045689e-07
0.5875,7.62370264737047e-07
0.6,5.19693476199914e-07
0.6125,1.94276049224052e-07
0.625,-1.99196795684044e-07
0.6375,-6.43458168905073e-07
0.65,-1.12079045232081e-06
0.6625,-1.61326211515623e-06
0.675,-2.10228498961297e-06
0.6875,-2.56797840786906e-06
0.7,-2.99036694409739e-06
0.7125,-3.35066021256294e-06
0.725,-3.63410371046929e-06
0.7375,-3.83182431886844e-06
0.75,-3.93785380641505e-06
0.7625,-3.95671416496476e-06
0.775,-3.88665890561479e-06
0.7875,-3.73631308768356e-06
0.8,-3.50825664343572e-06
0.8125,-3.2018646660361e-06
0.825,-2.83780906767156e-06
0.8375,-2.41912518452964e-06
0.85,-1.9593392343042e-06
0.8625,-1.47159051527078e-06
0.875,-9.7123900553179e-07
0.8875,-4.7443687624302e-07
0.9,2.70022816145029e-09
0.9125,4.4314746171776e-07
0.925,8.30537951203312e-07
0.9375,1.14793497482898e-06
0.95,1.37976211519317e-06
0.9625,1.51173343099008e-06
0.975,1.53079984429264e-06
0.9875,1.42511945573159e-06
1,1.18506982926322e-06
1.0125,8.03462103768989e-07
1.025,2.75367611367998e-07
1.0375,-4.02012856261449e-07
1.05,-1.22876873373667e-06
1.0625,-2.20384866656933e-06
1.075,-3.3223910522428e-06
